brandKey,gameUid,displayName,category,imageUrl
JILI,1070,Limbo,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1070/public
JILI,628,Lucky Ball,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/628/public
JILI,919,Lucky Bingo,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/919/public
JILI,860,Lucky Coming,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/860/public
JILI,348,Lucky Doggy,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/348/public
JILI,987,Lucky Goldbricks,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/987/public
JILI,525,Lucky Jaguar,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/525/public
JILI,865,Ludo Quick,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/865/public
JILI,400,Magic Lamp,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/400/public
JILI,601,Magic Lamp Bingo,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/601/public
JILI,962,Master Tiger,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/962/public
JILI,423,Mayan Empire,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/423/public
JILI,197,Medusa,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/197/public
JILI,1074,Mega Ace,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1074/public
JILI,925,Mega Fishing,Fishing,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/925/public
JILI,524,Mines,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/524/public
JILI,347,Mines Gold,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/347/public
JILI,10496,Mines Grand,Casino,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10496/public
JILI,33,MINI FLUSH,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/33/public
JILI,1005,Money Coming,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1005/public
JILI,10028,Money Coming 2,Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10028/public
JILI,261,Money Coming Expand Bets,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/261/public
JILI,774,Money Pot,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/774/public
JILI,1145,Monkey Party,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1145/public
JILI,708,Neko Fortune,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/708/public
JILI,545,Night City,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/545/public
JILI,943,Nightfall Hunting,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/943/public
JILI,245,Number King,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/245/public
JILI,393,Ocean King Jackpot,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/393/public
JILI,1049,PAPPU,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1049/public
JILI,971,Party Night,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/971/public
JILI,882,Party Star,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/882/public
JILI,44,Pearls of Bingo,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/44/public
JILI,299,Penalty Kick,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/299/public
JILI,910,Pharaoh Treasure,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/910/public
JILI,515,Pirate Queen,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/515/public
JILI,315,Pirate Queen 2,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/315/public
JILI,1044,Plinko,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1044/public
JILI,10501,Plinko of Mine,casino,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10501/public
JILI,793,Poker King,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/793/public
JILI,296,Pool Rummy,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/296/public
JILI,369,Poseidon,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/369/public
JILI,1139,Potion Wizard,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1139/public
JILI,1097,Pusoy Go,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1097/public
JILI,10038,Rapid Gems 777,Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10038/public
JILI,831,Roma X Deluxe,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/831/public
JILI,1053,RomaX,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1053/public
JILI,1059,Royal Fishing,Fishing,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1059/public
JILI,10506,Royal Quest,Casino,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10506/public
