Game ID,Game Name,Brand,Category,Image URL
,"Treasures of Aztec","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/215/public
,"Tree of Fortune","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1062/public
,"Tsar Treasures","PGSoft",Slot Game,https://igamingapis.com/img/10092.png
,"Ultimate Striker","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/297/public
,"Vampire's Charm","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/626/public
,"Ways of the Qilin","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1153/public
,"Werewolf's Hunt","PGSoft",Slot Game,https://igamingapis.com/img/10091.png
,"Wild Ape #3258","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10097/public
,"Wild Bandito","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/688/public
,"Wild Bounty Showdown","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/916/public
,"Wild Coaster","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/738/public
,"Wild Fireworks","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1138/public
,"Wild Heist Cashout","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/11/public
,"Win Win Fish Prawn Crab","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/711/public
,"Win Win Won","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/294/public
,"Wings of Iguazu","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10106/public
,"Yakuza Honor","PGSoft",Slot Game,https://igamingapis.com/img/10105.png
,"Zombie Outbreak","PGSoft",Slot Game,https://igamingapis.com/img/10102.png
